Date,Open,High,Low,Close,Adj Close,Volume
2019-01-28,13.420000,13.540000,13.420000,13.440000,13.440000,10400
2019-01-29,13.500000,13.520000,13.500000,13.520000,13.520000,2000
2019-01-30,13.490000,13.580000,13.440000,13.540000,13.540000,7400
2019-01-31,13.460000,13.600000,13.360000,13.470000,13.470000,30600
2019-02-01,13.360000,13.620000,13.360000,13.420000,13.420000,12000
2019-02-04,13.450000,13.520000,13.440000,13.490000,13.490000,28300
2019-02-05,13.580000,13.610000,13.550000,13.560000,13.560000,22200
2019-02-06,13.530000,13.640000,13.490000,13.610000,13.610000,5800
2019-02-07,13.450000,13.450000,13.330000,13.380000,13.380000,88900
2019-02-08,13.250000,13.250000,13.070000,13.210000,13.210000,72700
2019-02-11,13.210000,13.210000,13.060000,13.110000,13.110000,9200
2019-02-12,13.220000,13.330000,13.190000,13.300000,13.300000,38900
2019-02-13,13.360000,13.380000,13.330000,13.380000,13.380000,4600
2019-02-14,13.410000,13.480000,13.400000,13.450000,13.450000,15400
2019-02-15,13.600000,13.780000,13.600000,13.720000,13.720000,17200
2019-02-19,13.730000,13.790000,13.670000,13.790000,13.790000,20900
2019-02-20,13.810000,13.900000,13.810000,13.840000,13.840000,7800
2019-02-21,13.760000,13.850000,13.740000,13.740000,13.740000,15900
2019-02-22,13.780000,13.830000,13.770000,13.770000,13.770000,6000
2019-02-25,13.850000,13.900000,13.750000,13.790000,13.790000,43100
2019-02-26,13.790000,13.900000,13.760000,13.900000,13.900000,14060
